EmpID,Name,SickDays,VacationDays
1,1,408,1
2,1,400,2
3,1,230,994
4,1,,995
5,1,,996
6,1,,4
7,1,,3
1,1,,317
2,1,,318
3,1,,319
4,1,,320
5,1,,952
6,1,,321
7,1,,322
8,1,,359
9,1,,360
10,1,,361
11,1,,362
12,1,,363
13,1,,364
14,1,,365
15,1,,366
16,1,,367
17,1,,368
18,1,,369
19,1,,370
20,1,,371
21,1,,372
22,1,,373
23,1,,374
24,1,,375
25,1,,376
26,1,,377
27,1,,378
28,1,,379
29,1,,380
30,1,,381
31,1,,382
32,1,,383
33,1,,384
34,1,,385
35,1,,323
36,1,,324
1,1,,386
2,1,,387
3,1,,388
4,1,,389
5,1,,390
6,1,,391
7,1,,392
8,1,,393
9,1,,394
10,1,,395
11,1,,396
12,1,,397
13,1,,805
14,1,,806
15,1,,807
16,1,,355
17,1,,356
18,1,,357
19,1,,358
1,1,,949
2,1,,950
3,1,,951
4,1,,341
5,1,,342
6,1,,343
7,1,,344
8,1,,345
9,1,,346
10,1,,347
11,1,,348
12,1,,349
13,1,,506
14,1,,941
15,1,,504
16,1,,939
17,1,,940
18,1,,505
19,1,,907
20,1,,937
21,1,,938
22,1,,679
23,1,,894
24,1,,935
25,1,,936
26,1,,497
1,1,,402
2,1,,403
3,1,,404
4,1,,405
5,1,,406
6,1,,407
7,1,,408
8,1,,409
9,1,,410
10,1,,411
11,1,,412
12,1,,413
13,1,,414
14,1,,415
15,1,,416
16,1,,417
17,1,,418
18,1,,419
19,1,,420
20,1,,421
2,1,,462
3,1,,463
3,1,,468
4,1,,464
5,1,,465
7,1,,467
8,1,,466
19,1,,461
1,1,,325
2,1,,326
3,1,,445
4,1,,446
5,1,,447
6,1,,448
7,1,,449
8,1,,450
9,1,,451
10,1,,452
11,1,,453
12,1,,454
13,1,,455
14,1,,456
15,1,,457
16,1,,458
17,1,,459
18,1,,460
1,1,,489
2,1,,490
3,1,,491
4,1,,469
5,1,,470
6,1,,471
7,1,,472
8,1,,473
9,1,,474
10,1,,475
1,1,,422
2,1,,423
3,1,,424
4,1,,425
5,1,,426
6,1,,427
7,1,,428
8,1,,429
9,1,,430
10,1,,431
11,1,,432
1,1,,433
2,1,,434
3,1,,435
4,1,,436
5,1,,437
6,1,,438
7,1,,439
8,1,,440
9,1,,441
10,1,,442
11,1,,443
12,1,,444
0,2,,477
0,2,,478
0,2,,479
0,2,,480
0,2,,481
0,2,,488
0,2,,486
0,2,,487
0,2,,482
0,2,,483
0,2,,484
0,2,,485
1,3,,494
2,3,,493
3,3,,492
4,3,,496
5,3,,495
6,4,,492
7,4,,494
8,4,,493
9,4,,495
10,4,,496
1,5,,317
2,5,,318
3,5,,319
4,5,,320
5,5,,952
6,5,,321
7,5,,322
8,5,,328
9,5,,329
10,5,,330
11,5,,316
12,5,,323
13,5,,324
14,5,,949
15,5,,950
16,5,,951
1,5,,398
2,5,,399
3,5,,400
4,5,,401
0,5,,478
0,5,,477
0,5,,476
0,5,,479
0,5,,481
0,5,,480
1,5,,948
2,5,,350
3,5,,351
4,5,,945
5,5,,331
6,5,,332
7,5,,802
8,5,,803
9,5,,804
10,5,,352
1,5,,327
0,5,,485
0,5,,484
0,5,,483
0,5,,487
0,5,,486
0,5,,488
10,5,,482
1,5,,815
2,5,,816
3,5,,817
4,5,,818
5,5,,819
6,5,,820
7,5,,821
10,6,,823
10,6,,824
11,6,,825
11,6,,826
12,6,,827
12,6,,828
12,6,,829
1,6,,2
2,6,,525
3,6,,526
4,6,,527
5,6,,1
6,6,,994
7,6,,995
8,6,,996
9,6,,3
10,6,,4
1,6,,522
2,6,,515
3,6,,516
4,6,,908
5,6,,909
6,6,,916
7,6,,910
8,6,,911
9,6,,912
10,6,,514
11,6,,521
12,6,,913
13,6,,914
14,6,,520
15,6,,519
16,6,,517
17,6,,518
18,6,,915
1,6,,533
2,6,,490
3,6,,491
4,6,,532
5,6,,528
6,6,,529
7,6,,530
8,6,,531
9,6,,489
1,6,,325
2,6,,326
3,6,,402
4,6,,403
5,6,,404
6,6,,405
7,6,,406
8,6,,407
9,6,,408
10,6,,409
11,6,,410
12,6,,411
13,6,,412
14,6,,413
15,6,,414
16,6,,415
17,6,,416
18,6,,417
19,6,,418
20,6,,419
